"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Arizona","04","< 1 year","1","2018","2018",0,83553,Unreliable
,"Arizona","04","< 1 year","1","2019","2019",0,81929,Unreliable
,"Arizona","04","< 1 year","1","2020","2020",0,81409,Unreliable
,"Arizona","04","< 1 year","1","2021","2021",0,76130,Unreliable
,"Arizona","04","< 1 year","1","2022","2022",0,78579,Unreliable
,"Arizona","04","< 1 year","1","2023","2023",0,78075,Unreliable
,"Arizona","04","< 1 year","1","2024 (provisional)","2024",0,78075,Unreliable
,"Arizona","04","< 1 year","1","2025 (provisional and partial)","2025",0,78075,Unreliable
,"Arizona","04","1-4 years","1-4","2018","2018",0,352383,Unreliable
,"Arizona","04","1-4 years","1-4","2019","2019",0,347859,Unreliable
,"Arizona","04","1-4 years","1-4","2020","2020",0,343346,Unreliable
,"Arizona","04","1-4 years","1-4","2021","2021",0,325726,Unreliable
,"Arizona","04","1-4 years","1-4","2022","2022",0,316427,Unreliable
,"Arizona","04","1-4 years","1-4","2023","2023",0,315456,Unreliable
,"Arizona","04","1-4 years","1-4","2024 (provisional)","2024",0,315456,Unreliable
,"Arizona","04","1-4 years","1-4","2025 (provisional and partial)","2025",0,315456,Unreliable
,"Arizona","04","5-14 years","5-14","2018","2018",0,928147,Unreliable
,"Arizona","04","5-14 years","5-14","2019","2019",0,930745,Unreliable
,"Arizona","04","5-14 years","5-14","2020","2020",0,937060,Unreliable
,"Arizona","04","5-14 years","5-14","2021","2021",0,922621,Unreliable
,"Arizona","04","5-14 years","5-14","2022","2022",0,901508,Unreliable
,"Arizona","04","5-14 years","5-14","2023","2023",0,892088,Unreliable
,"Arizona","04","5-14 years","5-14","2024 (provisional)","2024",0,892088,Unreliable
,"Arizona","04","5-14 years","5-14","2025 (provisional and partial)","2025",0,892088,Unreliable
,"Arizona","04","15-24 years","15-24","2018","2018",Suppressed,965970,Suppressed
,"Arizona","04","15-24 years","15-24","2019","2019",Suppressed,973547,Suppressed
,"Arizona","04","15-24 years","15-24","2020","2020",Suppressed,986272,Suppressed
,"Arizona","04","15-24 years","15-24","2021","2021",Suppressed,974943,Suppressed
,"Arizona","04","15-24 years","15-24","2022","2022",Suppressed,1012056,Suppressed
,"Arizona","04","15-24 years","15-24","2023","2023",Suppressed,1001814,Suppressed
,"Arizona","04","15-24 years","15-24","2024 (provisional)","2024",Suppressed,1001814,Suppressed
,"Arizona","04","15-24 years","15-24","2025 (provisional and partial)","2025",Suppressed,1001814,Suppressed
,"Arizona","04","25-34 years","25-34","2018","2018",Suppressed,985845,Suppressed
