"Age Standard for Survival (15-44,45-54,55-64,65-74,75+)","Year of diagnosis (2000-2005,2006-2020 by 5)","States V Others","Stomach Colon Others","Age-Adjusted Rate","Count","Population"
15-44 years,2000-2005,Connecticut,Stomach,1.0,90,8576284
15-44 years,2000-2005,Connecticut,Colorectal,4.5,402,8576284
15-44 years,2000-2005,Connecticut,Remaining values,1.1,95,8576284
15-44 years,2000-2005,Iowa,Stomach,0.9,59,7286248
15-44 years,2000-2005,Iowa,Colorectal,4.6,321,7286248
15-44 years,2000-2005,Iowa,Remaining values,0.8,58,7286248
15-44 years,2000-2005,New Mexico,Stomach,1.1,48,4730622
15-44 years,2000-2005,New Mexico,Colorectal,4.2,187,4730622
15-44 years,2000-2005,New Mexico,Remaining values,0.7,29,4730622
15-44 years,2000-2005,Utah,Stomach,0.7,34,6600388
15-44 years,2000-2005,Utah,Colorectal,3.9,210,6600388
15-44 years,2000-2005,Utah,Remaining values,0.7,34,6600388
15-44 years,2000-2005,Kentucky,Stomach,0.8,83,10583393
15-44 years,2000-2005,Kentucky,Colorectal,5.8,599,10583393
15-44 years,2000-2005,Kentucky,Remaining values,1.0,108,10583393
15-44 years,2000-2005,Louisiana,Stomach,1.0,113,11696152
15-44 years,2000-2005,Louisiana,Colorectal,5.4,590,11696152
15-44 years,2000-2005,Louisiana,Remaining values,0.8,89,11696152
15-44 years,2000-2005,New Jersey,Stomach,1.3,295,21680660
15-44 years,2000-2005,New Jersey,Colorectal,5.0,1133,21680660
15-44 years,2000-2005,New Jersey,Remaining values,1.0,221,21680660
15-44 years,2000-2005,Remaining values,Stomach,^,^,0
15-44 years,2000-2005,Remaining values,Colorectal,^,^,0
15-44 years,2000-2005,Remaining values,Remaining values,^,^,0
15-44 years,2006-2010,Connecticut,Stomach,1.2,85,6987520
15-44 years,2006-2010,Connecticut,Colorectal,4.9,344,6987520
15-44 years,2006-2010,Connecticut,Remaining values,1.4,99,6987520
15-44 years,2006-2010,Iowa,Stomach,0.8,43,5913924
15-44 years,2006-2010,Iowa,Colorectal,5.7,302,5913924
15-44 years,2006-2010,Iowa,Remaining values,0.9,49,5913924
15-44 years,2006-2010,New Mexico,Stomach,1.5,51,4019837
15-44 years,2006-2010,New Mexico,Colorectal,5.0,179,4019837
15-44 years,2006-2010,New Mexico,Remaining values,^,^,4019837
15-44 years,2006-2010,Utah,Stomach,0.8,39,5960047
15-44 years,2006-2010,Utah,Colorectal,5.0,240,5960047
15-44 years,2006-2010,Utah,Remaining values,0.8,36,5960047
15-44 years,2006-2010,Kentucky,Stomach,0.8,64,8696377
15-44 years,2006-2010,Kentucky,Colorectal,6.8,554,8696377
15-44 years,2006-2010,Kentucky,Remaining values,1.2,96,8696377
15-44 years,2006-2010,Louisiana,Stomach,1.3,111,9176266
15-44 years,2006-2010,Louisiana,Colorectal,6.4,520,9176266
15-44 years,2006-2010,Louisiana,Remaining values,0.9,70,9176266
15-44 years,2006-2010,New Jersey,Stomach,1.3,220,17597563
15-44 years,2006-2010,New Jersey,Colorectal,5.3,932,17597563
15-44 years,2006-2010,New Jersey,Remaining values,0.9,165,17597563
15-44 years,2006-2010,Remaining values,Stomach,^,^,0
15-44 years,2006-2010,Remaining values,Colorectal,^,^,0
15-44 years,2006-2010,Remaining values,Remaining values,^,^,0
15-44 years,2011-2015,Connecticut,Stomach,1.3,85,6902437
15-44 years,2011-2015,Connecticut,Colorectal,6.1,384,6902437
15-44 years,2011-2015,Connecticut,Remaining values,1.5,101,6902437
15-44 years,2011-2015,Iowa,Stomach,0.9,47,6005700
15-44 years,2011-2015,Iowa,Colorectal,6.2,319,6005700
15-44 years,2011-2015,Iowa,Remaining values,1.4,75,6005700
15-44 years,2011-2015,New Mexico,Stomach,1.1,42,4104844
15-44 years,2011-2015,New Mexico,Colorectal,4.8,171,4104844
15-44 years,2011-2015,New Mexico,Remaining values,0.7,28,4104844
15-44 years,2011-2015,Utah,Stomach,1.0,51,6442875
15-44 years,2011-2015,Utah,Colorectal,5.6,308,6442875
15-44 years,2011-2015,Utah,Remaining values,1.2,67,6442875
15-44 years,2011-2015,Kentucky,Stomach,1.0,76,8688708
15-44 years,2011-2015,Kentucky,Colorectal,7.5,595,8688708
15-44 years,2011-2015,Kentucky,Remaining values,2.1,172,8688708
15-44 years,2011-2015,Louisiana,Stomach,1.2,95,9410173
15-44 years,2011-2015,Louisiana,Colorectal,6.8,549,9410173
15-44 years,2011-2015,Louisiana,Remaining values,1.5,129,9410173
15-44 years,2011-2015,New Jersey,Stomach,1.5,243,17498918
